season,through_week,team,metric,family,direction,phase3_status,n_games,n_opportunities,raw_value,ref_mean,ref_sd,ref_seasons,k,shrunk_value,z_raw,z_shrunk,oriented_z_shrunk,rank_of_league,percentile,confidence,in_index,shrunk_prev_week,shrunk_preseason,delta_shrunk_vs_prev_week,delta_shrunk_vs_preseason
2026,0,ARI,pass_protection.qb_hit_rate_allowed,pass_protection,lower_better,UNVALIDATED_RANK_PERSISTENT,17,745,0.17315436241610738,0.14499729036016004,0.03272124457668314,"2023,2024,2025",8,0.16414409935820423,0.8605134804686435,0.5851491667186777,-0.5851491667186777,24,0.25806451612903225,prior_season_only,true,0.16414409935820423,0.16414409935820423,0.0,0.0
2026,0,ARI,pass_protection.rush_stuffed_rate_approx,pass_protection,lower_better,RANK_PERSISTENT,17,745,0.24411764705882352,0.20453393402173106,0.032349993802877404,"2023,2024,2025",16,0.22492554376811202,1.2236080562578546,0.6303435441328341,-0.6303435441328341,29,0.0967741935483871,prior_season_only,false,0.22492554376811202,0.22492554376811202,0.0,0.0
2026,0,ARI,pass_protection.sack_rate_allowed,pass_protection,lower_better,UNVALIDATED_RANK_PERSISTENT,17,745,0.07919463087248323,0.06640532746445256,0.01878109141151444,"2023,2024,2025",8,0.07510205378191341,0.680966996422248,0.4630575575671285,-0.4630575575671285,25,0.22580645161290322,prior_season_only,true,0.07510205378191341,0.07510205378191341,0.0,0.0
2026,0,ARI,pass_rush.qb_hit_rate_generated,pass_rush,higher_better,RANK_PERSISTENT,17,620,0.11129032258064517,0.1441739694155678,0.023402668900553904,"2023,2024,2025",16,0.12723390892485006,-1.4051237905666527,-0.7238516496858518,-0.7238516496858518,29,0.0967741935483871,prior_season_only,true,0.12723390892485006,0.12723390892485006,0.0,0.0
2026,0,ARI,pass_rush.sack_rate_generated,pass_rush,higher_better,NOT_RANK_PERSISTENT,17,620,0.04838709677419355,0.06604664154487218,0.012051753475340252,"2023,2024,2025",14,0.05636237505772583,-1.4653091607634348,-0.8035566365476902,-0.8035566365476902,28,0.12903225806451613,prior_season_only,true,0.05636237505772583,0.05636237505772583,0.0,0.0
2026,0,ARI,special_teams.fg_pct,special_teams,higher_better,NOT_RANK_PERSISTENT,17,233,0.7575757575757576,0.8507127173905934,0.06913215135025523,"2023,2024,2025",16,0.802733071425375,-1.3472307456911214,-0.6940279599014864,-0.6940279599014864,30,0.06451612903225806,prior_season_only,false,0.802733071425375,0.802733071425375,0.0,0.0
2026,0,ARI,special_teams.st_epa_per_play,special_teams,higher_better,RANK_PERSISTENT,17,233,-0.01705296078533904,0.06223172610307078,0.09283786774459722,"2023,2024,2025",16,0.021388099524192995,-0.8540123638613389,-0.4399457632012958,-0.4399457632012958,29,0.0967741935483871,prior_season_only,true,0.021388099524192995,0.021388099524192995,0.0,0.0
2026,0,ARI,team_defense.early_down_epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1102,0.12867757613112601,-0.0013076969094549817,0.06388279864549935,"2023,2024,2025",16,0.06565441344478372,2.034746063050553,1.0482025173290728,-1.0482025173290728,30,0.06451612903225806,prior_season_only,true,0.06565441344478372,0.06565441344478372,0.0,0.0
2026,0,ARI,team_defense.epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1102,0.08965575343137507,0.004591155429042401,0.06774676986235148,"2023,2024,2025",16,0.04841231197569862,1.255625887037385,0.6468375781707741,-0.6468375781707741,26,0.1935483870967742,prior_season_only,true,0.04841231197569862,0.04841231197569862,0.0,0.0
2026,0,ARI,team_defense.explosive_pass_rate,team_defense,lower_better,NOT_RANK_PERSISTENT,17,1102,0.08387096774193549,0.07968322075124035,0.01121813986620499,"2023,2024,2025",14,0.08197972716549252,0.3733013708726227,0.20471365499466432,-0.20471365499466432,22,0.3225806451612903,prior_season_only,false,0.08197972716549252,0.08197972716549252,0.0,0.0
