matchup,horizon,n,rmse_M3,rmse_M4c,rmse_M4r,mae_M4c,bias_M4c,pearson_M4c,spearman_M4c,interaction_skill,interaction_skill_raw,relative_skill_vs_additive
pass_game_epa,2,2634,0.21339695021874705,0.2136578076997289,0.21365780769972886,0.1700021303652303,-0.0024085177098998956,0.32748005994925855,0.3244540773404984,-0.0012224049158831019,-0.0012224049158828798,-0.028732782546491586
pass_game_epa,4,2210,0.15968092886157992,0.15972323448849504,0.15972323448849501,0.1275267153291153,-0.0001314323366586652,0.3969636725001327,0.4000063930797449,-0.0002649385071638033,-0.00026493850716358125,-0.027005567365374183
pass_game_epa,1,2846,0.29979905213536534,0.29991327213082875,0.29991327213082875,0.23566919214209076,-0.00795744735544679,0.27352744744965407,0.2656500515088658,-0.0003809885143060132,-0.0003809885143060132,-0.029218632749903994
pass_game_success,2,2634,0.06910258577640875,0.06913343267437022,0.06913343267437021,0.055487084546837526,0.0005132150116256255,0.3426419531158233,0.34502038388751516,-0.00044639281750291637,-0.00044639281750269433,-0.029616174208008106
pass_game_success,4,2210,0.052447775583934035,0.05248583825015859,0.05248583825015837,0.042255474017511535,0.001184345787719475,0.40466074624279086,0.4159266402631899,-0.0007257250817747085,-0.0007257250817707117,-0.029042168822254633
pass_game_success,1,2846,0.09507094913723031,0.0950703924279809,0.09507039242798081,0.07566769051049821,0.00014275830119333345,0.2888949838709296,0.2848325858496963,5.855724114045557e-6,5.855724115044758e-6,-0.03226132652689029
rush_game_success,2,2634,0.07924763413855729,0.07921235624063269,0.0792123562406328,0.06275502328456715,0.005891944544165853,0.23524962606906677,0.2215985499551033,0.0004451602663988474,0.00044516026639740414,-0.022887398063530906
rush_game_success,4,2210,0.059546372594947855,0.05951151416727476,0.05951151416727478,0.04710651718423961,0.002057393940185593,0.2936108585511298,0.2715049576815892,0.000585399683540988,0.000585399683540655,-0.031947904757810175
rush_game_success,1,2846,0.1107998807926195,0.11080284171158164,0.11080284171158182,0.08683912632142123,0.010500607212470961,0.1882565520374901,0.18141968981045967,-0.000026723124076921678,-0.000026723124078698035,-0.017186048611356863
overall_epa,2,2634,0.13786379520699724,0.13808417183400928,0.13808417183400934,0.10984781776199959,0.004203096159803793,0.3908080442997922,0.3829147435636428,-0.0015985097949839933,-0.0015985097949844373,-0.03657464986456915
overall_epa,4,2210,0.10487700818625356,0.10493688130542124,0.10493688130542138,0.0837761977650605,0.003143533017780578,0.4672916769430959,0.45944819906245965,-0.0005708888936013512,-0.0005708888936026835,-0.02977252715917933
overall_epa,1,2846,0.18956868243576547,0.1897580549751271,0.18975805497512713,0.14995622731710612,0.005429133303027981,0.3291588263005137,0.31960768256020583,-0.0009989653192097325,-0.0009989653192099546,-0.039773248649942694
overall_success,2,2634,0.05117705396789138,0.051200908404557946,0.051200908404557884,0.04109511621810121,0.0029047792016914623,0.3930986635095735,0.3862054147302624,-0.0004661158628149753,-0.00046611586281364303,-0.03793623283831993
overall_success,4,2210,0.03935602596911622,0.03937542529514482,0.039375425295144754,0.031687722064892294,0.0016635562720600696,0.4656099866496454,0.4645346658273264,-0.0004929188237607907,-0.0004929188237592363,-0.03717019809344824
overall_success,1,2846,0.06989586282238032,0.06991462147014754,0.06991462147014761,0.055379549471607455,0.005490091431091221,0.3308042248534939,0.328155836846205,-0.00026837994424488976,-0.000268379944246,-0.039034580173459066
early_down_epa,2,2634,0.13151269439916397,0.13156994754779858,0.13156994754779858,0.10433530860463748,0.005090878084495352,0.2962374857002223,0.2853365782003119,-0.00043534313471549346,-0.00043534313471549346,-0.025794280669088288
early_down_epa,4,2210,0.10015840122888693,0.10019866553289199,0.10019866553289199,0.07868939640483633,0.005022471881589675,0.35615162580904836,0.34313954907686905,-0.00040200625719899463,-0.00040200625719899463,-0.024242194811077145
early_down_epa,1,2846,0.17919875899237364,0.1792679908429576,0.17926799084295764,0.14140415205535517,0.004987455776295517,0.2613656390977948,0.25233131683430055,-0.00038634112743451965,-0.00038634112743451965,-0.03014533943066411
protection_vs_rush_hit,2,2634,0.047657501994236316,0.047639125207716064,0.04763912520771634,0.03807323444604524,0.0022209751836332688,0.41552827135808446,0.41045995138074215,0.00038560112786600875,0.00038560112786012457,-0.03664423264696226
