group,factor,family,outcome,orientation,association_pearson,association_spearman,association_r2,n_association,stability_mean_r,stability_sd_r,stability_frac_same_sign,n_seasons,chronological_pearson,chronological_spearman,chronological_pearson_ci_lo,chronological_pearson_ci_hi,chronological_r2,n_chronological,evidence_tier,rank_in_group,group_leader,redundancy_note
offense_efficiency,team_offense.epa_per_play,team_offense,points_scored,higher_metric_higher_outcome,0.891680579286151,0.8903752164414908,0.7950942554760858,315,0.8947793531054262,0.02964322821522719,1.0,10,0.40117598389443176,0.41404386449261116,0.3242771317515286,0.4703733524834231,0.16094217005366537,1565,strong + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.pass_epa_per_dropback,team_offense,points_scored,higher_metric_higher_outcome,0.8646741795851355,0.8651535918729341,0.7476614368412271,315,0.8744158672793245,0.03702797280583896,1.0,10,0.3884657237346405,0.39894625762355307,0.3113926039669119,0.45712795787073646,0.15090561851667803,1565,strong + temporally consistent,2,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.success_rate,team_offense,points_scored,higher_metric_higher_outcome,0.8095211247314932,0.7983187631256647,0.6553244513865417,315,0.8070571261582309,0.048829047033686755,1.0,10,0.3554098373415335,0.3551655795230869,0.275059990044273,0.4304171999683351,0.12631615247913527,1565,strong + temporally consistent,3,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.early_down_epa_per_play,team_offense,points_scored,higher_metric_higher_outcome,0.8167526069288603,0.8076525264624919,0.6670848209250894,315,0.8252816328070273,0.04501883730120174,1.0,10,0.34699574341630174,0.33330372025038035,0.2651268041986035,0.42387611481335635,0.12040604594903191,1565,strong + temporally consistent,4,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.pass_success_rate,team_offense,points_scored,higher_metric_higher_outcome,0.7797861475864627,0.7752832456049421,0.6080664359677366,315,0.7844883463098999,0.05247327692146472,1.0,10,0.3453828165897457,0.3434596709037576,0.26656996777849673,0.4156511788609455,0.1192892899954659,1565,strong + temporally consistent,5,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.rush_epa_per_play,team_offense,points_scored,higher_metric_higher_outcome,0.5861007620881168,0.5826447518457516,0.34351410332027127,315,0.5638114412839909,0.11323414154014795,1.0,10,0.23079243247695871,0.21269131768764496,0.13557276623217906,0.32595314433057004,0.05326514688863155,1565,moderate + temporally consistent,6,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.rush_success_rate,team_offense,points_scored,higher_metric_higher_outcome,0.5424090220002188,0.5304430955644373,0.29420754714723385,315,0.5209522119911876,0.10045873184601335,1.0,10,0.1996905012996651,0.1848817087415698,0.106136935755343,0.2952692891569515,0.03987629630931155,1565,moderate + temporally consistent,7,false,factors within a group are correlated; count the group as ONE line of evidence
offense_explosiveness,team_offense.explosive_pass_rate,team_offense,points_scored,higher_metric_higher_outcome,0.6194222513071261,0.6024302876032297,0.3836839254143885,315,0.6359286996131328,0.09931816389884135,1.0,10,0.3154316500789915,0.31759581275577836,0.22435596306667163,0.39723940977591776,0.09949712587155533,1565,strong + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
offense_explosiveness,team_offense.explosive_rush_rate,team_offense,points_scored,higher_metric_higher_outcome,0.3317377863965201,0.30919094074782216,0.11004995892326318,315,0.33875468954704246,0.11496813526243053,1.0,10,0.18182851525320148,0.18662348647764695,0.08287123224789457,0.27229811012100913,0.033061608959183725,1565,moderate + temporally consistent,2,false,factors within a group are correlated; count the group as ONE line of evidence
offense_style,team_offense.proe,team_offense,points_scored,higher_metric_higher_outcome,0.2773251655331925,0.2724997408461087,0.07690924743801261,315,0.2870636111859277,0.15977922499270658,0.9,10,0.052479998499412504,0.03762303525303063,-0.04367964072651714,0.15176910923774323,0.0027541502424983386,1565,weak / insufficient evidence,1,true,factors within a group are correlated; count the group as ONE line of evidence
protection,pass_protection.sack_rate_allowed,pass_protection,points_scored,higher_metric_lower_outcome,-0.5058059184237886,-0.5159231829472901,0.25583962711253233,315,-0.5176919943114706,0.09114329798933841,1.0,10,-0.23450398430588157,-0.24651897255030944,-0.3190071719320887,-0.14281294921712548,0.05499211865533315,1565,moderate + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
protection,pass_protection.qb_hit_rate_allowed,pass_protection,points_scored,higher_metric_lower_outcome,-0.378154346810117,-0.3798612470869183,0.14300071001138626,315,-0.3771262594657618,0.1305210004153257,1.0,10,-0.2243502494133229,-0.22392522338091747,-0.3094061125485568,-0.1318915367876566,0.050333034411820195,1565,moderate + temporally consistent,2,false,factors within a group are correlated; count the group as ONE line of evidence
