group,factor,family,outcome,orientation,association_pearson,association_spearman,association_r2,n_association,stability_mean_r,stability_sd_r,stability_frac_same_sign,n_seasons,chronological_pearson,chronological_spearman,chronological_pearson_ci_lo,chronological_pearson_ci_hi,chronological_r2,n_chronological,evidence_tier,rank_in_group,group_leader,redundancy_note
defense_efficiency,team_defense.epa_per_play,team_defense,points_allowed,higher_metric_lower_outcome,0.8039982142555576,0.7883196461685538,0.6464131285261255,315,0.7947834477772807,0.069793904773052,1.0,10,0.17273329705185222,0.16734132776999336,0.08573579693704099,0.25673607909984886,0.02983679191040342,1565,moderate + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.pass_epa_per_dropback,team_defense,points_allowed,higher_metric_lower_outcome,0.7595786079618566,0.7391802290536468,0.5769596616732718,315,0.7599796008615353,0.07340119851012915,1.0,10,0.16775810156444856,0.16936341388912132,0.08409438755434483,0.24420022968116512,0.02814278064050784,1565,moderate + temporally consistent,2,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.early_down_epa_per_play,team_defense,points_allowed,higher_metric_lower_outcome,0.7016827646237532,0.6888759631886295,0.49235870217003347,315,0.7004403635658925,0.09086781364515165,1.0,10,0.1626516698058432,0.1549711018073623,0.07393396207309079,0.24639357698115802,0.026455565690629044,1565,moderate + temporally consistent,3,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.rush_epa_per_play,team_defense,points_allowed,higher_metric_lower_outcome,0.5057011569113243,0.4982700038009238,0.2557336601014519,315,0.4643898299600141,0.2517834256981422,0.9,10,0.12242868642238616,0.11563853167070541,0.037768964886755484,0.2051568885880485,0.014988783259110962,1565,weak but statistically detectable chronologically,4,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.pass_success_rate,team_defense,points_allowed,higher_metric_lower_outcome,0.639879041028583,0.6204766128010504,0.40944518714765893,315,0.626617790516229,0.09373206682206096,1.0,10,0.10924345048137322,0.10907450490754121,0.020655297940283777,0.1956129470477906,0.011934131473076244,1565,weak but statistically detectable chronologically,5,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.success_rate,team_defense,points_allowed,higher_metric_lower_outcome,0.6337092982038652,0.6103795932627668,0.4015874746300354,315,0.5978664540993599,0.17016823255623875,1.0,10,0.10309184507300699,0.09411427844932387,0.011117156660262379,0.19145605183376976,0.010627928520556875,1565,weak but statistically detectable chronologically,6,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.rush_success_rate,team_defense,points_allowed,higher_metric_lower_outcome,0.3863071186240163,0.3884233077250896,0.14923318989958978,315,0.32635251022752687,0.29266870116265176,0.9,10,0.07920974031474884,0.07112932602169754,-0.005477203157882394,0.16127720110668786,0.0062741829607299475,1565,descriptive association only (no chronological signal),7,false,factors within a group are correlated; count the group as ONE line of evidence
defense_explosiveness,team_defense.explosive_rush_rate,team_defense,points_allowed,higher_metric_lower_outcome,0.34189778838890494,0.3375554301378699,0.11689409770522442,315,0.34057740957278093,0.21336706365726057,1.0,10,0.1270176656335028,0.11823125898680678,0.04100615254934327,0.21355004505693465,0.01613348738298432,1565,weak but statistically detectable chronologically,1,true,factors within a group are correlated; count the group as ONE line of evidence
defense_explosiveness,team_defense.explosive_pass_rate,team_defense,points_allowed,higher_metric_lower_outcome,0.5056516240779252,0.48393553019046853,0.2556835649326434,315,0.5219250987302436,0.1618008840352994,1.0,10,0.09135966856191441,0.08947051250419394,0.003800393253471611,0.18083523052733327,0.008346589039742853,1565,weak but statistically detectable chronologically,2,false,factors within a group are correlated; count the group as ONE line of evidence
pass_rush,pass_rush.qb_hit_rate_generated,pass_rush,points_allowed,higher_metric_higher_outcome,-0.35701021393239185,-0.34249125595574037,0.1274562928520522,315,-0.3512933514865455,0.15903547003863527,1.0,10,-0.1347543514447441,-0.12276496281709424,-0.21206212006722708,-0.053045494810162026,0.018158735233293605,1565,weak but statistically detectable chronologically,1,true,factors within a group are correlated; count the group as ONE line of evidence
pass_rush,pass_rush.sack_rate_generated,pass_rush,points_allowed,higher_metric_higher_outcome,-0.36363325374972305,-0.3610228708108254,0.13222914323261048,315,-0.37058774764828045,0.15948392884418566,1.0,10,-0.0703290708724774,-0.07174974812913032,-0.15601283807362562,0.01707811733675248,0.00494617820978595,1565,descriptive association only (no chronological signal),2,false,factors within a group are correlated; count the group as ONE line of evidence
