family,metric,window,n,placebo_skill_vs_league_mean,placebo_skill_vs_league_p95_abs,placebo_spearman_mean,placebo_spearman_p95_abs,n_permutations
qb,epa_per_dropback,season_to_date,2696,-0.11433517312850885,0.1303542031092094,-0.0010820836164855082,0.038537728545836564,20
qb,epa_per_dropback,trailing_3,2870,-0.17726554403053513,0.18847105729701136,-0.008199611721456116,0.0338945968719708,20
qb,epa_per_dropback,trailing_5,2857,-0.1292556173262069,0.14378061017380117,-0.005497361065723397,0.036963547715318505,20
qb,epa_per_dropback,prior_season,2110,-0.07326582825623525,0.08351446488401497,-0.003512476407515152,0.03910856218968037,20
qb,dropback_success_rate,season_to_date,2696,-0.12555935513134564,0.13435306377650313,-0.001545081458510304,0.03638654418615762,20
qb,dropback_success_rate,trailing_3,2870,-0.18268936039522538,0.19278279671625984,-0.0006845946434207722,0.022798366339798922,20
qb,dropback_success_rate,trailing_5,2857,-0.13994478857587658,0.15472955215937734,-0.0067854920449476165,0.03382712213863689,20
qb,dropback_success_rate,prior_season,2110,-0.08374752901056312,0.09492492230647613,-0.009071590726082237,0.041106713423290565,20
qb,sack_rate,season_to_date,2696,-0.11202014850775328,0.12323232076422716,0.007155211988909267,0.030161306765008018,20
qb,sack_rate,trailing_3,2870,-0.1739903741956704,0.18302458513373046,-0.006296354213912661,0.02782209738548502,20
qb,sack_rate,trailing_5,2857,-0.12934767884380535,0.143875428978785,-0.0064191305158638745,0.0300568076349728,20
qb,sack_rate,prior_season,2110,-0.08871164470358453,0.102806847754605,0.000402202767792083,0.042886169069138017,20
qb,yards_per_attempt,season_to_date,2696,-0.11181545352350855,0.1208711757610015,0.0024250080330596524,0.03955695110904541,20
qb,yards_per_attempt,trailing_3,2870,-0.17337555674559038,0.18949911411864034,-0.006563170087301039,0.03911084355329719,20
qb,yards_per_attempt,trailing_5,2857,-0.12820503496478558,0.1377558330712918,-0.0045714333683176565,0.02204524990790766,20
qb,yards_per_attempt,prior_season,2110,-0.07606619050650902,0.08840785900950265,-0.0037677278819597286,0.04233471660865426,20
qb,completion_pct,season_to_date,2696,-0.09991639059926587,0.11287622791175556,0.0018573019047122199,0.02841748473764595,20
qb,completion_pct,trailing_3,2870,-0.16373048983986402,0.1721953451661706,-0.0037551754834761223,0.026600867480060703,20
qb,completion_pct,trailing_5,2857,-0.12220848081737982,0.13838200808491224,-0.0078906888321817,0.04314919873725956,20
qb,completion_pct,prior_season,2110,-0.07186355061430802,0.08709742691435952,0.004385011136698097,0.04595392190583211,20
qb,adot,season_to_date,2696,-0.10698241341364848,0.11638904379235271,0.007088039774041979,0.02706583205599352,20
qb,adot,trailing_3,2870,-0.17616376214075977,0.18823681085585228,0.00554388600964026,0.02858362819149524,20
qb,adot,trailing_5,2857,-0.12864639433666367,0.14675935139582919,0.002342619497911872,0.039430084283615656,20
qb,adot,prior_season,2110,-0.08850221125035163,0.10244459570701114,-0.0007956006573517947,0.045756275082895585,20
qb,cpoe,season_to_date,2696,-0.10869217072586287,0.1193034107180011,-0.001818681306669232,0.036684446340021916,20
qb,cpoe,trailing_3,2870,-0.16788524004400163,0.18124331954088027,0.0005173409165328815,0.03340006952897394,20
qb,cpoe,trailing_5,2857,-0.12822165039876893,0.14469703379341753,-0.007475071480285413,0.035668223177758335,20
qb,cpoe,prior_season,2110,-0.06478114803730825,0.07817118614993665,0.0005827374535299473,0.0425701218821979,20
qb,cpoe_coverage_fraction,season_to_date,2696,-0.10957425120679613,0.11998526500349789,-0.0013529861104600326,0.03508350067815368,20
qb,cpoe_coverage_fraction,trailing_3,2870,-0.18565649783237814,0.19379369417148934,-0.0029001344600858093,0.016136019082243058,20
qb,cpoe_coverage_fraction,trailing_5,2857,-0.13783012460966257,0.15142585316512544,0.0014036896427623013,0.031117396209620306,20
qb,cpoe_coverage_fraction,prior_season,2110,-0.07924944481594036,0.09084271360413004,-0.0006610667882115512,0.04100250003063415,20
qb,interception_rate,season_to_date,2696,-0.08120055437599048,0.09297260926807437,-0.007423726044248305,0.03003053759872721,20
qb,interception_rate,trailing_3,2870,-0.15224496336436502,0.1670331356560821,0.0006187528170407715,0.025506020342058018,20
qb,interception_rate,trailing_5,2857,-0.10433213844096326,0.1109283064438662,-0.004022313915679318,0.02205017752534192,20
qb,interception_rate,prior_season,2110,-0.04130423348858122,0.04890767163112584,-0.00783433741747219,0.038402810966988284,20
qb,explosive_pass_rate,season_to_date,2696,-0.09394876903101484,0.10548092236420764,0.0011497592696970646,0.030945971610498772,20
qb,explosive_pass_rate,trailing_3,2870,-0.16605645589608828,0.1792112734713463,-0.0031020262013264264,0.037698557028548664,20
qb,explosive_pass_rate,trailing_5,2857,-0.11111590275816748,0.12273974155553588,0.0024696192976610513,0.03028597098360249,20
qb,explosive_pass_rate,prior_season,2110,-0.06069999434246885,0.07473130851867363,0.0047342890840213715,0.0346324472549845,20
rb,rush_epa_per_att,season_to_date,5167,-0.09325757655602084,0.09893104632024956,0.0034907602194059915,0.02838649001088794,20
rb,rush_epa_per_att,trailing_3,3918,-0.16100105069408,0.17508339318134752,0.0015684528738418677,0.028204461167749748,20
rb,rush_epa_per_att,trailing_5,5040,-0.12747062817236765,0.13561792387375113,-0.0039253175932893415,0.03186548307357307,20
rb,rush_epa_per_att,prior_season,4597,-0.07803840251092849,0.08573025800484085,-0.0005280146191151087,0.02166769168929696,20
rb,rush_success_rate,season_to_date,5167,-0.10474518684740759,0.11526489483875178,0.0038625975619105703,0.026772441865899485,20
rb,rush_success_rate,trailing_3,3918,-0.1616990585019646,0.17788988089233349,-0.0001944667795879193,0.03023124191092979,20
rb,rush_success_rate,trailing_5,5040,-0.13112634544847204,0.13989835554546273,-0.0018874113894131138,0.022579630513848852,20
rb,rush_success_rate,prior_season,4597,-0.08364217837916299,0.08910170778397629,0.001647929183250578,0.01909171470409068,20
rb,yards_per_carry,season_to_date,5167,-0.10773061929321122,0.1167673223208614,0.00043295349479688806,0.024031073481969714,20
rb,yards_per_carry,trailing_3,3918,-0.16602284784103366,0.17824141380930916,0.004654730481047137,0.029875897752894818,20
rb,yards_per_carry,trailing_5,5040,-0.13623232573926597,0.14805138565359624,-0.004194737049914889,0.027565462503439445,20
rb,yards_per_carry,prior_season,4597,-0.08349966255994518,0.09036120460919367,-0.0019653286984382566,0.023747310691209948,20
rb,explosive_rush_rate,season_to_date,5167,-0.10256535132019426,0.10891291345854348,-0.0025248725249802867,0.027086151051863485,20
rb,explosive_rush_rate,trailing_3,3918,-0.15980782419615328,0.16899408989963674,-0.001340154883989837,0.024206857528782766,20
rb,explosive_rush_rate,trailing_5,5040,-0.1288331915674442,0.13956055322465039,0.00023062599045719267,0.022955406271865018,20
rb,explosive_rush_rate,prior_season,4597,-0.07381108688727812,0.08543534392988031,-0.005346377667713729,0.03606710819145489,20
rb,fumble_lost_rate,season_to_date,5167,-0.10486118463685434,0.10935923384519003,-0.033116890229049886,0.03919920805946255,20
rb,fumble_lost_rate,trailing_3,3918,-0.1390157088892694,0.14795958986068597,0.1464714118314886,0.1547252200352013,20
rb,fumble_lost_rate,trailing_5,5040,-0.10790229856594986,0.11657616205093804,-0.12082355723335522,0.1294552813575315,20
rb,fumble_lost_rate,prior_season,4597,-0.0696019551660891,0.07571613138155597,-0.06534216893540794,0.07302021673594311,20
wr,catch_rate,season_to_date,15596,-0.09945654868469009,0.10506219874051113,0.0007638310991314662,0.012756379884367671,20
wr,catch_rate,trailing_3,9701,-0.1489681070865466,0.15561652800249676,0.0021204407890251277,0.017822905844265106,20
wr,catch_rate,trailing_5,15137,-0.12024411818359564,0.12463913026188202,0.0011767300657471494,0.011096523450378273,20
wr,catch_rate,prior_season,14734,-0.07731826521271082,0.08186004665838745,0.0018037108307222267,0.011799541542035672,20
wr,yards_per_target,season_to_date,15596,-0.08513341459365738,0.08984399802176815,0.000041276040767464866,0.0145871376000581,20
wr,yards_per_target,trailing_3,9701,-0.1328757509875904,0.1385050192972711,-0.0017676136879173656,0.01703697148216556,20
wr,yards_per_target,trailing_5,15137,-0.10761064604167099,0.11298347095869744,0.0032568993144626475,0.013675593390370201,20
wr,yards_per_target,prior_season,14734,-0.0640473516027151,0.06712961760427126,0.000603859227567946,0.009994896946096928,20
wr,yards_per_reception,season_to_date,15115,-0.11982109882851588,0.12596835600633255,-0.0023897537610361214,0.014596567926428342,20
wr,yards_per_reception,trailing_3,9459,-0.1584238764184236,0.16664198145309936,-0.0007173071959955523,0.020790632476828597,20
wr,yards_per_reception,trailing_5,14631,-0.14416367327472235,0.1478314430486169,-0.005112284509225789,0.010223733851931614,20
wr,yards_per_reception,prior_season,14232,-0.10499637208164118,0.10899143338110528,0.0035048085769692145,0.015374017734860919,20
wr,adot,season_to_date,15596,-0.25664382135258873,0.26314285329938997,0.003658372978745672,0.019297385550605076,20
wr,adot,trailing_3,9701,-0.26820245862363307,0.2754020616336014,0.0012046236826370482,0.012224697676197068,20
wr,adot,trailing_5,15137,-0.26654246336054443,0.27113199121025383,0.00017486545321019535,0.010640085880390551,20
wr,adot,prior_season,14734,-0.24496673605348174,0.2519121605752014,0.0013898168673746063,0.014224564423121247,20
wr,epa_per_target,season_to_date,15596,-0.06878575954553307,0.07294261053133831,-0.00041728962729918866,0.011523295425925253,20
wr,epa_per_target,trailing_3,9701,-0.12766261333130635,0.13301664394829646,-0.0012963925808216034,0.012846818160074516,20
wr,epa_per_target,trailing_5,15137,-0.09332024437675117,0.09592369692354241,0.002296375005546661,0.01779161187084345,20
wr,epa_per_target,prior_season,14734,-0.04674295094578421,0.05095111291843205,0.0018141592101225987,0.016178225364933334,20
wr,target_success_rate,season_to_date,15596,-0.07741472200751509,0.08164335353762316,0.001267210774616486,0.011749289581562369,20
wr,target_success_rate,trailing_3,9701,-0.13685198759480977,0.14134069261392593,0.0014786531203375708,0.011040759224500972,20
wr,target_success_rate,trailing_5,15137,-0.10109411408469979,0.1049769752948344,0.0026234260522124955,0.012543591150756022,20
wr,target_success_rate,prior_season,14734,-0.05300325353115789,0.05606204051406019,-0.0008680219566707451,0.010418927626096334,20
wr,explosive_rec_rate,season_to_date,15596,-0.08503282452116263,0.0892612536549727,4.410544779229457e-6,0.010093102156041757,20
wr,explosive_rec_rate,trailing_3,9701,-0.13889577866098288,0.14633773473418057,0.005996799825102148,0.025010935142515643,20
wr,explosive_rec_rate,trailing_5,15137,-0.10879367972310319,0.11519693803797446,0.013804452881509074,0.027250521864054106,20
wr,explosive_rec_rate,prior_season,14734,-0.0625034001441935,0.06609018232322497,0.0017444417219096918,0.012544435600561898,20
team_offense,epa_per_play,season_to_date,2870,-0.10451248163295719,0.11092039214578835,-0.0040193277669316445,0.03229604778368411,20
team_offense,epa_per_play,trailing_3,2870,-0.18665553055154394,0.20282186081772477,-0.0028319167861053053,0.03660002294603602,20
team_offense,epa_per_play,trailing_5,2870,-0.1374625269835948,0.1481863521901501,-0.004107964638850613,0.03369470983463076,20
team_offense,epa_per_play,prior_season,2870,-0.08774355882150155,0.10011303995509978,-0.003671479520755487,0.037053411460414666,20
team_offense,success_rate,season_to_date,2870,-0.10786478911968604,0.11653515183472522,-0.0031210284135832346,0.02784929930243322,20
team_offense,success_rate,trailing_3,2870,-0.1891557426191866,0.1992699598352426,-0.001636969479024613,0.02395307487282519,20
team_offense,success_rate,trailing_5,2870,-0.14053462551242651,0.1516062499929197,-0.00032629701299842034,0.03469338044957299,20
team_offense,success_rate,prior_season,2870,-0.08642879264758524,0.09693384370297049,0.002797102527353189,0.030486612906008077,20
team_offense,pass_epa_per_dropback,season_to_date,2870,-0.09572632087052739,0.10314790681192658,-0.0072777762788289735,0.02567529283381961,20
team_offense,pass_epa_per_dropback,trailing_3,2870,-0.1753638878453387,0.1863551869312278,-0.003747648827313383,0.029859552591942368,20
team_offense,pass_epa_per_dropback,trailing_5,2870,-0.1261032620013575,0.13519775341455587,-0.007515615075485514,0.03247113230507544,20
team_offense,pass_epa_per_dropback,prior_season,2870,-0.07042134459367329,0.07859868479588988,-0.0037640048101167667,0.03198677558880195,20
team_offense,pass_success_rate,season_to_date,2870,-0.10441539219014259,0.11124102666638651,-0.006990955879304722,0.025502633881051003,20
team_offense,pass_success_rate,trailing_3,2870,-0.18244613699078877,0.19156221191567543,-0.002108387206625648,0.023721703438516175,20
