family,entity_type,source,metric,predictive_status,rank_persistence,best_window_h2,best_window_h4,primary_n_h2,primary_n_h4,spearman_h4,skill_vs_league_h4,skill_vs_prior_season_h4,evidence,rank_evidence
qb,player,pbp,qb.explosive_pass_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,season_to_date,1922,1890,0.2579299325041815,-0.10561992290732936,0.006942665251424951,"H2: win=prior_season n=1922 skill_vs_league=-0.049[-0.098,0.003] skill_vs_prior=0.000[0.000] spearman=0.084[0.009] | H4: win=season_to_date n=1890 skill_vs_league=-0.106[-0.169,-0.040] skill_vs_prior=0.007[-0.063] spearman=0.258[0.186]",H2: spearman=0.1833174373260803[0.13397467415673792] n=2431 win=season_to_date | H4: spearman=0.2579299325041815[0.18635149977477566] n=1890 win=season_to_date
qb,player,pbp,qb.interception_rate,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,1922,1543,0.06033143186451604,-0.10757521549962323,0.0,"H2: win=prior_season n=1922 skill_vs_league=-0.052[-0.083,-0.024] skill_vs_prior=0.000[0.000] spearman=0.051[-0.016] | H4: win=prior_season n=1543 skill_vs_league=-0.108[-0.169,-0.049] skill_vs_prior=0.000[0.000] spearman=0.060[-0.029]",H2: spearman=0.051337995615539825[-0.01565475689910984] n=1922 win=prior_season | H4: spearman=0.06033143186451604[-0.029004760171860666] n=1543 win=prior_season
qb,player,pbp,qb.sack_rate,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2431,1890,0.42645876560496515,-0.004167632410447375,0.07427387869717939,"ambiguous (H2: win=season_to_date n=2431 skill_vs_league=-0.005[-0.040,0.030] skill_vs_prior=0.043[0.003] spearman=0.321[0.263] | H4: win=season_to_date n=1890 skill_vs_league=-0.004[-0.073,0.057] skill_vs_prior=0.074[-0.003] spearman=0.426[0.343])",H2: spearman=0.3211336351461481[0.2626194476795789] n=2431 win=season_to_date | H4: spearman=0.42645876560496515[0.3427356168155182] n=1890 win=season_to_date
qb,player,pbp,qb.yards_per_attempt,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,season_to_date,1922,1890,0.35872262947688355,-0.060311231419964084,0.016329186176908705,"H2: win=prior_season n=1922 skill_vs_league=-0.026[-0.071,0.018] skill_vs_prior=0.000[0.000] spearman=0.171[0.100] | H4: win=season_to_date n=1890 skill_vs_league=-0.060[-0.133,0.010] skill_vs_prior=0.016[-0.057] spearman=0.359[0.280]",H2: spearman=0.2661554067707319[0.20497223674834436] n=2431 win=season_to_date | H4: spearman=0.35872262947688355[0.2795527142001014] n=1890 win=season_to_date
rb,player,pbp,rb.explosive_rush_rate,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,3883,2730,0.18762477925305704,-0.12936133884153023,0.0,"H2: win=prior_season n=3883 skill_vs_league=-0.075[-0.118,-0.036] skill_vs_prior=0.000[0.000] spearman=0.122[0.065] | H4: win=prior_season n=2730 skill_vs_league=-0.129[-0.203,-0.061] skill_vs_prior=0.000[0.000] spearman=0.188[0.110]",H2: spearman=0.12853727177607557[0.0753421012878509] n=4374 win=season_to_date | H4: spearman=0.18762477925305704[0.11013318787759635] n=2730 win=prior_season
rb,player,pbp,rb.fumble_lost_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,3883,2730,0.3876646797805964,-0.25410320314860435,0.0,"H2: win=prior_season n=3883 skill_vs_league=-0.126[-0.215,-0.058] skill_vs_prior=0.000[0.000] spearman=0.073[-0.016] | H4: win=prior_season n=2730 skill_vs_league=-0.254[-0.402,-0.132] skill_vs_prior=0.000[0.000] spearman=-0.065[-0.160]",H2: spearman=0.5378249464269703[0.469231735144611] n=3474 win=trailing_3 | H4: spearman=0.3876646797805964[0.3144901584623925] n=3094 win=trailing_5
rb,player,pbp,rb.rush_epa_per_att,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,3883,2730,0.18156761983738995,-0.09512344969708053,0.0,"H2: win=prior_season n=3883 skill_vs_league=-0.033[-0.096,0.025] skill_vs_prior=0.000[-0.000] spearman=0.139[0.074] | H4: win=prior_season n=2730 skill_vs_league=-0.095[-0.192,-0.015] skill_vs_prior=0.000[-0.000] spearman=0.166[0.082]",H2: spearman=0.17113649693066488[0.11981158078871124] n=4374 win=season_to_date | H4: spearman=0.18156761983738995[0.11156020353256116] n=3095 win=season_to_date
rb,player,pbp,rb.rush_success_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,3883,2730,0.23851139011761702,0.025549351249861352,0.0,"H2: win=prior_season n=3883 skill_vs_league=0.020[-0.025,0.068] skill_vs_prior=0.000[0.000] spearman=0.207[0.141] | H4: win=prior_season n=2730 skill_vs_league=0.026[-0.054,0.096] skill_vs_prior=0.000[0.000] spearman=0.221[0.137]",H2: spearman=0.21987513383459215[0.16513980622803734] n=4374 win=season_to_date | H4: spearman=0.23851139011761702[0.17414649638650873] n=3095 win=season_to_date
rb,player,pbp,rb.yards_per_carry,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,3883,2730,0.21762919103288267,-0.12688546151442726,0.0,"H2: win=prior_season n=3883 skill_vs_league=-0.088[-0.138,-0.047] skill_vs_prior=0.000[0.000] spearman=0.151[0.091] | H4: win=prior_season n=2730 skill_vs_league=-0.127[-0.195,-0.061] skill_vs_prior=0.000[0.000] spearman=0.218[0.149]",H2: spearman=0.16015216664316279[0.10744154765409623] n=4374 win=season_to_date | H4: spearman=0.21762919103288267[0.1485726357482733] n=2730 win=prior_season
special_teams,team,pbp,special_teams.fg_pct,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,season_to_date,2685,2349,0.12632549009968294,-0.13310490148023635,0.0020884890578447557,"H2: win=prior_season n=2685 skill_vs_league=-0.067[-0.089,-0.048] skill_vs_prior=0.000[0.000] spearman=-0.042[-0.104] | H4: win=season_to_date n=2349 skill_vs_league=-0.133[-0.205,-0.068] skill_vs_prior=0.002[-0.064] spearman=0.126[0.054]",H2: spearman=0.07535889875537083[0.014421696828443572] n=1456 win=trailing_3 | H4: spearman=0.12632549009968294[0.054461643218360827] n=2349 win=season_to_date
special_teams,team,pbp,special_teams.st_epa_per_play,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.2663475867903512,-0.03470425729189519,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.023[-0.047,-0.001] skill_vs_prior=0.000[-0.000] spearman=0.191[0.129] | H4: win=prior_season n=2351 skill_vs_league=-0.035[-0.077,0.004] skill_vs_prior=0.000[-0.000] spearman=0.237[0.148]",H2: spearman=0.20783591510686156[0.15026991144232282] n=2731 win=season_to_date | H4: spearman=0.2663475867903512[0.1893087451751125] n=2350 win=season_to_date
team_defense,team,pbp,team_defense.early_down_epa_per_play,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,season_to_date,prior_season,2732,2351,0.2333355204213689,-0.08418502952908713,-2.220446049250313e-16,"H2: win=season_to_date n=2732 skill_vs_league=-0.041[-0.069,-0.010] skill_vs_prior=0.004[-0.029] spearman=0.194[0.139] | H4: win=prior_season n=2351 skill_vs_league=-0.084[-0.130,-0.034] skill_vs_prior=-0.000[0.000] spearman=0.119[0.034]",H2: spearman=0.19397241841750798[0.1390541693653936] n=2732 win=season_to_date | H4: spearman=0.2333355204213689[0.15838201616640818] n=2351 win=season_to_date
team_defense,team,pbp,team_defense.epa_per_play,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,season_to_date,prior_season,2732,2351,0.24152810409664832,-0.08440888984503347,0.0,"H2: win=season_to_date n=2732 skill_vs_league=-0.035[-0.060,-0.007] skill_vs_prior=0.009[-0.024] spearman=0.199[0.142] | H4: win=prior_season n=2351 skill_vs_league=-0.084[-0.138,-0.032] skill_vs_prior=0.000[-0.000] spearman=0.128[0.037]",H2: spearman=0.19881080046820726[0.14246102617872375] n=2732 win=season_to_date | H4: spearman=0.24152810409664832[0.166032716330515] n=2351 win=season_to_date
team_defense,team,pbp,team_defense.explosive_pass_rate,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.10358203648709273,-0.07359690353904602,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.041[-0.065,-0.019] skill_vs_prior=0.000[0.000] spearman=0.041[-0.012] | H4: win=prior_season n=2351 skill_vs_league=-0.074[-0.120,-0.032] skill_vs_prior=0.000[0.000] spearman=0.069[-0.008]",H2: spearman=0.08085760071107692[0.03579045085975324] n=2732 win=trailing_3 | H4: spearman=0.10358203648709273[0.04229342147298978] n=2351 win=trailing_3
team_defense,team,pbp,team_defense.explosive_rush_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.21845213176902206,-0.05346664482473429,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.031[-0.063,-0.002] skill_vs_prior=0.000[0.000] spearman=0.162[0.098] | H4: win=prior_season n=2351 skill_vs_league=-0.053[-0.110,-0.000] skill_vs_prior=0.000[0.000] spearman=0.218[0.133]",H2: spearman=0.16151780828099052[0.09784364741334876] n=2732 win=prior_season | H4: spearman=0.21845213176902206[0.13259066538270778] n=2351 win=prior_season
team_defense,team,pbp,team_defense.pass_epa_per_dropback,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.1884955986430881,-0.08174665709831275,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.044[-0.073,-0.016] skill_vs_prior=0.000[-0.000] spearman=0.087[0.024] | H4: win=prior_season n=2351 skill_vs_league=-0.082[-0.133,-0.034] skill_vs_prior=0.000[-0.000] spearman=0.106[0.020]",H2: spearman=0.15998079904846882[0.1027841371402247] n=2732 win=season_to_date | H4: spearman=0.1884955986430881[0.10866370221613462] n=2351 win=season_to_date
team_defense,team,pbp,team_defense.pass_success_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.22462137581350902,-0.046040044261371094,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.028[-0.056,-0.002] skill_vs_prior=0.000[0.000] spearman=0.126[0.062] | H4: win=prior_season n=2351 skill_vs_league=-0.046[-0.094,0.000] skill_vs_prior=0.000[0.000] spearman=0.168[0.086]",H2: spearman=0.2000221174617769[0.1464704243375827] n=2732 win=trailing_5 | H4: spearman=0.22462137581350902[0.1503099696621769] n=2351 win=trailing_5
team_defense,team,pbp,team_defense.rush_epa_per_play,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,2732,2351,0.1541502105607078,-0.08014453039299396,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.044[-0.067,-0.021] skill_vs_prior=0.000[-0.000] spearman=0.090[0.027] | H4: win=prior_season n=2351 skill_vs_league=-0.080[-0.121,-0.039] skill_vs_prior=0.000[-0.000] spearman=0.125[0.041]",H2: spearman=0.11651479264251666[0.055420450100607435] n=2732 win=season_to_date | H4: spearman=0.1541502105607078[0.07256900396407656] n=2351 win=season_to_date
