family,entity_type,source,metric,window,target_horizon,season_phase,n,n_entities,n_seasons,opportunity_n_median,target_mean,target_sd,rmse,mae,bias,spearman,pearson,rmse_league,rmse_prior_season,rmse_raw_trailing3,skill_vs_league,skill_vs_prior_season,skill_vs_raw_trailing3,n_prior_season,excluded_target_rate,skill_vs_league_ci_lo,skill_vs_league_ci_hi,skill_vs_prior_season_ci_lo,skill_vs_prior_season_ci_hi,spearman_ci_lo,spearman_ci_hi,bootstrap_iterations,bootstrap_method
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,1,early,892,32,7,655.0,0.14476970526261762,0.07067228425339014,0.06950453388383038,0.05430342112901998,-0.002359984880100629,0.25640222910471333,0.2551460782108589,0.07069491644740292,0.06950453388383038,0.07467155803997186,0.016838304978522567,0.0,0.06919668333926499,892,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,1,primary_wk5_18_h1,2870,32,7,655.0,0.14164795039386135,0.0698978389421658,0.07129298367738689,0.056647306922473835,0.0008860196597510582,0.1785804222007938,0.17438577483869677,0.0698892246443393,0.07129298367738689,0.07348550961543364,-0.020085485855526386,0.0,0.029836167014704484,2870,NaN,-0.04873680246081066,0.0058963698624428665,0.0,0.0,0.11711849447664076,0.2349507870005271,1000,multiplier_cluster_exponential
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,1,wk10_14,1014,32,7,655.0,0.14471637820173955,0.06806650890220693,0.06857818757153648,0.0543955393631251,-0.002489697998424951,0.21850958957748412,0.21014277365421505,0.06809624443330985,0.06857818757153648,0.07167390096388271,-0.007077382052965264,0.0,0.043191640900167916,1014,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,1,wk15_18,850,32,7,655.0,0.14023169508635652,0.07245607525138767,0.074992828907888,0.05993781235295217,0.0022745026636317167,0.12160841745109682,0.12923976767311907,0.07243546249992816,0.074992828907888,0.0750272004570702,-0.03530544735546304,0.0,0.0004581211743582836,850,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,1,wk5_9,1006,32,7,655.0,0.13975175875786786,0.06948135531984424,0.07076810783910197,0.05613673305495204,0.0031154104669994798,0.18976954499713244,0.18010173278998567,0.06948150777293459,0.07076810783910197,0.07397112645704032,-0.018517158124604638,0.0,0.04330093066513663,1006,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,2,early,892,32,7,655.0,0.14531260334965418,0.0550837639040393,0.05363869551425123,0.04105339899043516,-0.002902882967137153,0.34646620029192005,0.3269005596469785,0.055171498454751736,0.05363869551425123,0.0598118527952994,0.027782514222585708,0.0,0.103209597973419,892,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,2,primary_wk5_18_h2,2732,32,7,655.0,0.14125774272712632,0.05232483261825446,0.05410235664704312,0.04308054410515437,0.0011187875613439978,0.23308189029210377,0.23590578751824698,0.052320196354736594,0.05410235664704312,0.0573363952489755,-0.03406256888302339,0.0,0.056404637715520956,2732,NaN,-0.08304789783355786,0.010865812930799775,0.0,0.0,0.1518765891382279,0.30589191777029345,1000,multiplier_cluster_exponential
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,2,wk10_14,1014,32,7,655.0,0.1440578661930588,0.05073350037769136,0.05125387327354142,0.04083484214243573,-0.0018311859897441596,0.28846428211027936,0.28706855010749044,0.05075051604642062,0.05125387327354142,0.0554810396586664,-0.009918268154364807,0.0,0.07619118911850964,1014,0.0,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,2,wk15_18,712,32,7,657.0,0.13890349155860693,0.053212802840351105,0.05639673888270681,0.045038476932431834,0.0029932145954988314,0.1754323287060596,0.18627029791593344,0.053294376860845594,0.05639673888270681,0.056390053896925536,-0.05821180778530621,0.0,-0.00011854902273178425,712,0.1623529411764706,,,,,,,,
pass_protection,team,pbp,qb_hit_rate_allowed,prior_season,2,wk5_9,1006,32,7,655.0,0.14010158133302122,0.05318991668355988,0.055227911944490005,0.04395837076238612,0.0027655878918461333,0.22038887044125732,0.22285079716761064,0.053175732256982224,0.055227911944490005,0.05978808002439264,-0.03859241049263251,0.0,0.07627219469235602,1006,0.0,,,,,,,,
