season,through_week,team,index_value_defense_overall,index_value_offense_overall,index_value_pass_protection,index_value_pass_rush,index_value_passing_defense,index_value_passing_offense,index_value_rushing_defense,index_value_rushing_offense,index_value_special_teams,rank_of_league_defense_overall,rank_of_league_offense_overall,rank_of_league_pass_protection,rank_of_league_pass_rush,rank_of_league_passing_defense,rank_of_league_passing_offense,rank_of_league_rushing_defense,rank_of_league_rushing_offense,rank_of_league_special_teams
2016,0,ARI,0.5587867391501419,1.2479282808349854,-0.14702883789060034,0.22844124303549557,0.4416244800746512,1.0672934477650486,0.5458966574742724,0.49705192568482226,-0.4531389914853147,5,1,19,12,8,1,3,3,26
2016,0,ATL,-0.2602240117323594,0.24718448754255398,0.2715847448719842,-0.7568365685209094,-0.27904752015442763,0.30281283219042215,-0.17279246966562942,-0.2286728940277661,-0.22383109258087572,19,11,11,31,23,10,23,20,22
2016,0,BAL,-0.26577087146698236,-0.3639374661623902,0.7810628300060473,0.1722116498228579,-0.21918217557338407,-0.2575499415433267,0.4469244338680703,-0.11057872213431749,0.6721845700510412,21,24,2,16,20,23,6,17,2
2016,0,BUF,-0.3009911647216578,0.15389914119506887,-0.23900813617931974,-0.7972218891227414,0.1406346706463961,0.14939746226102993,-0.34800401958649796,0.33541331527508683,0.08619541386175124,24,15,23,32,12,14,27,6,13
2016,0,CAR,1.1226361397107965,0.657117380429533,0.386247091409214,0.18663247479449724,0.8686651274367605,0.5690088753892906,0.3858840243663124,0.7674184875172433,0.0365798723911918,2,5,8,13,3,5,8,1,15
2016,0,CHI,-0.37293621910071423,-0.2017294334491209,0.0807497326481838,0.24458216741024846,-0.2633756700370349,0.14727297829607408,-0.16328217626435723,0.18283167056382207,0.25344609106268234,25,20,13,10,22,15,22,11,8
2016,0,CIN,0.356316477400771,0.6055298783753588,0.47017780311014595,0.2418661133439326,0.3608699602772446,0.8312377391574538,0.08777572581884596,-0.20113938259791175,-0.01719450386135389,9,6,7,11,9,3,16,19,18
2016,0,CLE,-0.6147261325607075,-0.713051121935495,-0.7290070065982147,-0.32400207452846275,-0.48405261741178074,-0.5603789541601313,-0.3267957077212778,-0.41019593201385396,-0.48168860213431236,30,30,29,24,25,29,26,25,27
2016,0,DAL,-0.42400332567828697,-0.30120988128195797,0.31821201773892627,-0.09858927000851771,-0.22357090935998752,-0.4112675866047959,-0.3997076214396574,0.30213461710428846,0.36131888941641893,28,22,9,20,21,25,29,7,5
2016,0,DEN,1.1367055397178658,-0.5202018695612266,-0.1221244376268747,1.016618059799551,1.0191979884124458,-0.5800802457706977,0.8759078643698492,-0.25348138737847115,0.07966813709155256,1,26,17,1,1,30,1,21,14
2016,0,DET,-0.29167004904700006,0.26161330700839075,-0.13877530969587687,0.6769923080061844,-0.4963848453040081,0.0678413169494244,0.15584635787063425,-0.309316033547317,0.19451173421527732,22,10,18,3,26,17,13,24,9
2016,0,GB,0.36733948961344637,0.2353909214373334,-0.32614384358645776,0.42793699283924025,0.6258799717562501,-0.16642703812467838,-0.41706674032398766,-0.08805596453592221,0.2550908430875302,8,12,25,5,5,19,30,16,7
2016,0,HOU,0.5134422258590301,-0.6922357462025238,0.27685968723710214,0.6828778331735916,0.5225709856662356,-0.4162245183228959,0.0733418261100305,-0.7442953035678225,-0.5149556101427538,7,29,10,2,7,27,17,30,28
2016,0,IND,0.19620652371113056,-0.7388860129554242,-0.23785114559391274,-0.13227017849962538,-0.028765328312521238,-0.4281934100516302,0.1638553064943771,-0.7001021348068565,0.02011357459084481,13,31,22,21,16,28,12,29,16
2016,0,JAX,-0.1058645442251076,-0.3182520960777575,-0.168060061038386,-0.4007304233468719,-0.5289650794158385,0.2202599737431111,0.1950703804784509,-0.809433800987522,-0.003913029939238175,15,23,21,26,27,11,11,32,17
2016,0,KC,0.9410662570358658,0.517950870666576,-0.41762407278433344,0.047088011470586055,0.9923408935429865,-0.0062169685415690195,0.2815020541032362,0.71373500776274,0.8792176795560269,3,7,26,17,2,18,9,2,1
2016,0,LA,0.3332684587949017,-0.9376248048663239,-0.15627572851307292,0.38699136350074537,0.10012461270623216,-1.0857236965112511,0.20637469498288907,-0.145470373859017,-0.25446954992558035,10,32,20,7,13,32,10,18,24
2016,0,LAC,-0.2632886796578206,0.01806213791827447,-0.05732382519569089,-0.1383627855818029,-0.003985057958189736,0.15036600703889838,-0.4826276109244636,-0.8061983594754629,-0.23433635338055245,20,16,16,22,15,13,31,31,23
2016,0,LV,-0.23379220759858124,-0.3843795200218141,0.6647421101093187,-0.4533390896216034,-0.05493730136821802,-0.22561705050866854,-0.07070958509581689,-0.4905074490715424,0.44143461096993736,18,25,4,28,17,21,19,26,3
2016,0,MIA,-0.4085885441789787,-0.12180232143457685,-0.5625630950702386,-0.024347152161099922,-0.5500482304306893,-0.18377592352923003,-0.14448506985778273,-0.08227887645647662,-0.21815097409411802,27,18,27,19,28,20,21,15,21
2016,0,MIN,0.07010493104403615,-0.24574185645925348,-1.0012433889821009,0.5997579531185308,0.15540966849997925,-0.41373743100768,0.1386764839236182,0.3812521533028435,0.373582146233896,14,21,31,4,11,26,15,5,4
2016,0,NE,0.32403751333451647,0.749416595739317,0.012075962240393603,0.32324134763050105,0.2596344346004116,0.42411607749735797,0.5059196120815307,0.2828654219010224,0.18334058506950518,11,3,15,8,10,7,5,8,10
2016,0,NO,-1.2310286635887253,0.492957178039877,0.5632658733142676,-0.5229171677575429,-1.2467430954123946,0.5892919328636457,-0.49971684693011903,0.1623094835440637,-0.8472532698938721,32,8,6,29,32,4,32,12,31
