source,season,unit,weight_kind,total_weight,unmatched_weight,unmatched_share,rows,unmatched_rows
snap_counts,2018,OL,snaps,195951.0,0.0,0.0,4245,0
snap_counts,2018,QB,snaps,36398.0,0.0,0.0,665,0
snap_counts,2018,RB,snaps,51935.0,0.0,0.0,1869,0
snap_counts,2018,ST,snaps,9744.0,0.0,0.0,1068,0
snap_counts,2018,TE,snaps,56130.0,0.0,0.0,1587,0
snap_counts,2018,WR,snaps,103451.0,0.0,0.0,2644,0
snap_counts,2019,DB,snaps,218369.0,460.0,0.00211,4788,17
snap_counts,2019,DL,snaps,128759.0,27.0,0.00021,3478,1
snap_counts,2019,LB,snaps,144115.0,0.0,0.0,3517,0
snap_counts,2019,OL,snaps,198222.0,0.0,0.0,4257,0
snap_counts,2019,QB,snaps,36282.0,0.0,0.0,644,0
snap_counts,2019,RB,snaps,54870.0,0.0,0.0,1957,0
snap_counts,2019,ST,snaps,9776.0,0.0,0.0,1067,0
snap_counts,2019,TE,snaps,55956.0,0.0,0.0,1498,0
snap_counts,2019,WR,snaps,102854.0,302.0,0.00294,2656,13
snap_counts,2020,DB,snaps,219423.0,181.0,0.00082,4894,9
snap_counts,2020,DL,snaps,139465.0,0.0,0.0,3775,0
snap_counts,2020,EDGE,snaps,12255.0,0.0,0.0,321,0
snap_counts,2020,LB,snaps,122826.0,0.0,0.0,3133,0
snap_counts,2020,OL,snaps,180513.0,7.0,0.00004,4174,2
snap_counts,2020,OTHER,snaps,26131.0,0.0,0.0,616,0
snap_counts,2020,QB,snaps,36425.0,0.0,0.0,683,0
snap_counts,2020,RB,snaps,50976.0,0.0,0.0,1930,0
snap_counts,2020,ST,snaps,9942.0,4.0,0.0004,1069,1
snap_counts,2020,TE,snaps,58052.0,157.0,0.0027,1653,8
snap_counts,2020,WR,snaps,102870.0,21.0,0.0002,2751,1
snap_counts,2021,DB,snaps,228663.0,122.0,0.00053,5186,9
snap_counts,2021,DL,snaps,138154.0,0.0,0.0,3947,0
snap_counts,2021,LB,snaps,149345.0,0.0,0.0,3910,0
snap_counts,2021,OL,snaps,209077.0,34.0,0.00016,4801,10
snap_counts,2021,QB,snaps,38011.0,0.0,0.0,723,0
snap_counts,2021,RB,snaps,54812.0,0.0,0.0,2044,0
snap_counts,2021,ST,snaps,10005.0,0.0,0.0,1138,0
snap_counts,2021,TE,snaps,60747.0,0.0,0.0,1726,0
snap_counts,2021,WR,snaps,109483.0,182.0,0.00166,2993,15
snap_counts,2022,DB,snaps,225047.0,36.0,0.00016,5148,2
snap_counts,2022,DL,snaps,135025.0,10.0,0.00007,3914,2
snap_counts,2022,LB,snaps,152539.0,0.0,0.0,3978,0
snap_counts,2022,OL,snaps,206643.0,7.0,0.00003,4839,3
snap_counts,2022,QB,snaps,37362.0,0.0,0.0,683,0
snap_counts,2022,RB,snaps,55027.0,0.0,0.0,2044,0
snap_counts,2022,ST,snaps,9937.0,0.0,0.0,1138,0
snap_counts,2022,TE,snaps,62274.0,0.0,0.0,1763,0
snap_counts,2022,WR,snaps,105101.0,19.0,0.00018,2874,1
snap_counts,2023,DB,snaps,228923.0,0.0,0.0,5211,0
snap_counts,2023,DL,snaps,135352.0,0.0,0.0,3971,0
snap_counts,2023,LB,snaps,152136.0,0.0,0.0,3947,0
snap_counts,2023,OL,snaps,207815.0,0.0,0.0,4898,0
snap_counts,2023,QB,snaps,38078.0,0.0,0.0,729,0
snap_counts,2023,RB,snaps,52217.0,0.0,0.0,1911,0
snap_counts,2023,ST,snaps,9987.0,0.0,0.0,1139,0
snap_counts,2023,TE,snaps,61287.0,262.0,0.00427,1734,14
snap_counts,2023,WR,snaps,108602.0,0.0,0.0,3000,0
snap_counts,2024,DB,snaps,223191.0,6.0,0.00003,5213,1
snap_counts,2024,DL,snaps,137221.0,0.0,0.0,4077,0
snap_counts,2024,LB,snaps,150808.0,0.0,0.0,3831,0
snap_counts,2024,OL,snaps,207634.0,536.0,0.00258,4980,23
snap_counts,2024,QB,snaps,37251.0,0.0,0.0,718,0
snap_counts,2024,RB,snaps,51791.0,0.0,0.0,1922,0
snap_counts,2024,ST,snaps,10125.0,0.0,0.0,1139,0
snap_counts,2024,TE,snaps,63561.0,286.0,0.0045,1802,14
snap_counts,2024,WR,snaps,105753.0,111.0,0.00105,2933,4
snap_counts,2025,DB,snaps,215883.0,56.0,0.00026,5188,4
snap_counts,2025,DL,snaps,136330.0,248.0,0.00182,4039,14
snap_counts,2025,LB,snaps,151128.0,0.0,0.0,3896,0
snap_counts,2025,OL,snaps,205504.0,361.0,0.00176,4983,19
snap_counts,2025,QB,snaps,36911.0,1.0,0.00003,716,1
snap_counts,2025,RB,snaps,51327.0,61.0,0.00119,1935,7
snap_counts,2025,ST,snaps,10005.0,0.0,0.0,1139,0
snap_counts,2025,TE,snaps,63355.0,0.0,0.0,1787,0
snap_counts,2025,WR,snaps,101353.0,282.0,0.00278,2929,10
