family,metric,horizon,step,n,rmse,mae,bias,spearman,skill_vs_league,skill_vs_prior_season
pass_protection,qb_hit_rate_allowed,2,baseline_league,2732,0.052320196354736594,0.04188500853179857,0.0008392089661002778,0.0023187684130742594,0.0,0.03294052981708562
pass_protection,qb_hit_rate_allowed,2,baseline_prior,2732,0.05410235664704312,0.04308054410515437,0.0011187875613439973,0.23320750822863895,-0.03406256888302339,0.0
pass_protection,qb_hit_rate_allowed,2,baseline_raw_t3,2732,0.057336395248975505,0.04554816157626185,0.0009609915131694554,0.324945144785453,-0.09587500131361404,-0.059776298157044216
pass_protection,qb_hit_rate_allowed,2,raw_feature,2732,0.0501772992711651,0.03992731591979234,0.0017874761564582592,0.40179977056804117,0.040957359353975265,0.07254873205403223
pass_protection,qb_hit_rate_allowed,2,shrunk_feature,2732,0.04787683430269552,0.038217700196247234,0.0011711833438253294,0.40109950609590583,0.08492632600066319,0.11506933764386851
pass_protection,qb_hit_rate_allowed,2,oppadj_raw,2721,0.0495151981603882,0.03960358849314172,0.000496207348266664,0.31700744675107423,0.0521027833548815,0.08352864816762551
pass_protection,qb_hit_rate_allowed,2,oppadj_shrunk,2721,0.050271017511498886,0.040252776434525496,0.0005469864606223957,0.3118766404074403,0.037633709498332,0.06953927100286594
pass_protection,qb_hit_rate_allowed,4,baseline_league,2350,0.04162958923266804,0.03345669745366858,0.0009272425375285301,0.008760693918505973,0.0,0.047268415429659316
pass_protection,qb_hit_rate_allowed,4,baseline_prior,2350,0.043694981783816894,0.034904009965423075,0.0010579166069666932,0.2931870531184478,-0.049613570280632846,0.0
pass_protection,qb_hit_rate_allowed,4,baseline_raw_t3,2350,0.04871525458116832,0.03860659306239198,0.0008519619993187707,0.3888914605738561,-0.1702074288770532,-0.11489357799001909
pass_protection,qb_hit_rate_allowed,4,raw_feature,2350,0.03991149962950424,0.031697283845866085,0.001498743061299481,0.48891635610247736,0.04127087571201782,0.08658848224337568
pass_protection,qb_hit_rate_allowed,4,shrunk_feature,2350,0.03636399722538126,0.02899535032517312,0.0009778592255081928,0.48904701665415096,0.12648676348587906,0.16777635003273483
pass_protection,qb_hit_rate_allowed,4,oppadj_raw,2341,0.03822575413646921,0.030719099522762364,0.0004771167973167185,0.39304200968638164,0.08064278433662186,0.1243366819700994
pass_protection,qb_hit_rate_allowed,4,oppadj_shrunk,2341,0.03923587047556425,0.031546772816050346,0.0005804139194976698,0.3848003578748102,0.05634875100791081,0.1011972607848336
pass_protection,rush_stuffed_rate_approx,2,baseline_league,2732,0.06750199833799128,0.0541522301051541,0.0056595936035868065,0.0073238620809874385,0.0,0.017527815483545872
pass_protection,rush_stuffed_rate_approx,2,baseline_prior,2732,0.0687062691461478,0.054666527452291024,0.0023051278168572417,0.1528820809515049,-0.01784052084097687,0.0
pass_protection,rush_stuffed_rate_approx,2,baseline_raw_t3,2732,0.07967021279756387,0.0634240766548294,0.001048334084138373,0.15091954153274822,-0.18026450711347475,-0.15957704861101152
pass_protection,rush_stuffed_rate_approx,2,raw_feature,2732,0.07002814732125967,0.05633060888189232,0.002456914949080549,0.14274570248970944,-0.037423321464049586,-0.01923955690710044
pass_protection,rush_stuffed_rate_approx,2,shrunk_feature,2732,0.06584966042175092,0.05296566135306902,0.004410510017254323,0.14807608233835148,0.02447835555870348,0.041577118942675795
pass_protection,rush_stuffed_rate_approx,2,oppadj_raw,2721,0.06634648964802341,0.0529962815115301,0.005612758890229893,0.1552263281573032,0.01672518111824839,0.033954379770380516
pass_protection,rush_stuffed_rate_approx,2,oppadj_shrunk,2721,0.06677558140660413,0.053479105368323475,0.0056529969852133315,0.08777394765535179,0.010365912927264631,0.02770654034055353
pass_protection,rush_stuffed_rate_approx,4,baseline_league,2350,0.05251613245541653,0.04194808267417246,0.00713279201541186,0.018705632005103702,0.0,0.024141174557158585
pass_protection,rush_stuffed_rate_approx,4,baseline_prior,2350,0.05381529693250957,0.04273032731021434,0.0036528449218735976,0.1986730290499499,-0.024738388307554038,0.0
